link,empresas,cargos,categorias,locais,descricoes
https://br.linkedin.com/jobs/view/cientista-de-dados-j%C3%BAnior-at-neogrid-3176607977?refId=bxjLAUJgLN3GbskyxU6F3Q%3D%3D&trackingId=68H2aODuJDpKclAfZrj%2FKw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,Neogrid,Cientista de Dados Júnior,"['Assistente', 'Tempo integral', 'Engenharia e Tecnologia da informação', 'Serviços e consultoria de TI']","Agudos, SP","Nós da Neogrid estamos em busca de pessoas que tenham interesse, proatividade para aprender, e, principalmente, que queiram fazer parte da construção de uma importante evolução em soluções de tecnologia!

Nesta Posição, Você Será Responsável Por Basicamente
Apoiar a equipe em análises de dados;
Auxiliar na produtização de produtos de analytics;
Auxiliar a colocar modelos e análises em produção;
Realizar querys simples em bancos de dados prata e ouro.
Seu Talento Irá Nos Ajudar Se Você Tiver
Conhecimento básico de linguagem SQL;
Conhecimento básico de linguagem Python;
Conhecimento básico de análise de dados;
Conhecimento básico de modelos de machine learning (regressão, classificação, clusterização);
Conhecimento básico de estatística descritiva.
Por que fazer parte do nosso time? 💚❤️💜💙

Acreditamos no poder da diversidade, que amplia, inclui e faz crescer. Crescer a liberdade, a inovação e as oportunidades.

Aqui na Neogrid, todas as vagas são destinadas a pessoas. Sem restrições.

Nossas oportunidades são AnywhereOffice 🌎 Trabalhe em qualquer lugar 😎

Se o seu propósito conversa com o nosso, vem crescer com a gente!"
https://br.linkedin.com/jobs/view/analista-de-dados-j%C3%BAnior-at-riachuelo-3182782256?refId=bxjLAUJgLN3GbskyxU6F3Q%3D%3D&trackingId=7rcIDiYCY9m7eTdipwC4cQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Riachuelo,Analista de Dados Júnior,"['Não aplicável', 'Tempo integral', 'Tecnologia da informação', 'Varejo']",Brasil,"Aqui na Riachuelo a gente se conecta com @vc! #CarreiraQueConecta 🚀❤️

Existimos para conectar desejos a realizações. E você escolher a Riachuelo para fazer a sua carreira acontecer é uma realização para a gente!

Aqui, nossos mais de 40 mil RCHLOVERS encontram o melhor ambiente para se transformarem e se desenvolverem junto com a gente. Afinal, somos moda, varejo, tech, logística, financeira, indústria e uma das maiores empregadoras do país! ♥

Vamos juntos construir o maior ecossistema de moda, lifestyle e produtos financeiros do Brasil!

Nosso time de Produtos da Midway está em busca de um Analista de Dados JR para compor a equipe!

♿ Lembramos que nossas oportunidades são para todos. Na Riachuelo, você encontra um ambiente diverso, com respeito e empatia, em que cuidamos dos RCHLOVERS.

Responsabilidades e atribuições

Os Desafios Da Função São
Analise de dados e indicadores;
Estratégia nas politicas de cobrança;
Propostas de testes;
Campanhas;
Análise de viabilidade da ação;
Rever politicas já existentes;
Analise de comissões, descontos entre outras demandas.
Requisitos e qualificações

É Muito Importante Que Você Tenha E/ou Saiba
Perfil analítico;
Habilidades avançadas em Excel;
Superior completo em exatas ou áreas correlatas;
Trabalho Remoto;
Conhecimento em SQL e Power BI são um diferencial.
Informações adicionais

E quais são os benefícios?
Assistência médica;
Assistência odontológica;
Seguro de vida em grupo;
Totalpass;
Parcerias educacionais;
Descontos na Riachuelo;
Vale Transporte;
Participação nos Lucros;
Vale Alimentação;
Vale Refeição;
Ajuda de custo;
Auxilio Creche;
Auxilio Cultura.
Para conhecer todos os nossos benefícios, acesse www.riachuelo.com.br/carreiras

Curtiu? Então candidate-se agora!

Se orgulhe para sempre daquilo que você faz de melhor. #CarreiraQueConecta"
https://br.linkedin.com/jobs/view/analista-de-dados-j%C3%BAnior-at-projecti-3190429177?refId=bxjLAUJgLN3GbskyxU6F3Q%3D%3D&trackingId=vc4XTMr1OmESXuHiMbd3cQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,ProjecTI,Analista de Dados Júnior,['Contrato'],"São Paulo, SP","Por favor, ler com atenção a descrição.

Vaga: Analista de Dados Júnior / CRM
Nível: Júnior
Local: Modelo híbrido alocado no cliente, porém, é mais presencial do que home office, sendo 4 dias presencias na Consolação, Paulista e 1 dia remoto
Tipo de contratação: PJ (não trabalhamos com PJ do tipo MEI)
Tempo de contratação: Indeterminado

Requisito:
- Experiência a nível Júnior na área de Dados

Desejável:
- Graduação na área de TI ou correlatos"
https://br.linkedin.com/jobs/view/analista-de-dados-at-grupo-junco-industria-e-comercio-3190463927?refId=bxjLAUJgLN3GbskyxU6F3Q%3D%3D&trackingId=cWlUBkqFuW2sL9ei%2Bth27Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Grupo Junco - Industria e Comercio,Analista de dados,['Tempo integral'],"Uberlândia, MG","Buscamos candidato com perfil analítico, boa comunicação, que seja focado em melhoria de processos buscando os melhores resultados para a área comercial, contribuindo com a equipe de gerência de vendas para obterem um resultado melhor.

Requisitos:

Ensino Superior Completo em Economia, Contábeis ou afins.

Experiência com análise de dados comercial será diferencial.

Pacote office avançado.

Residir em Uberlândia-MG"
https://br.linkedin.com/jobs/view/cientista-de-dados-j%C3%BAnior-1-at-ey-3128686907?refId=bxjLAUJgLN3GbskyxU6F3Q%3D%3D&trackingId=GNfE5stu9GXga15YrqertQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,EY,Cientista de Dados Júnior 1,"['Assistente', 'Tempo integral', 'Engenharia e Tecnologia da informação', 'Contabilidade']","Porto Alegre, RS","Na EY, você terá a chance de construir uma carreira tão única quanto você, com alcance global, cultura inclusiva e tecnologia para se tornar a melhor versão de você. E nós contamos com sua voz e perspectivas únicas para ajudar a EY a se tornar ainda melhor. Junte-se a nós e construa uma experiência excepcional para você e um mundo de negócios melhor para todos.

Na área de Consulting, ajudamos organizações a se manter relevantes - agora e no futuro. Por meio dos nossos serviços de consultoria em business, tecnologia, pessoas e inovação, você poderá construir um mundo de negócios melhor apoiando clientes na transformação de seus negócios e na geração de valor de longo prazo. Para saber mais, acesse: https://www.ey.com/pt_br/consulting

Oportunidade de trabalhar no segmento de tecnologia de uma empresa de grande porte; Diversos tipos de tecnologias e projetos; Grande oportunidade de crescimento profissional e desenvolvimento de carreira; Fazer parte de time multidisciplinar.

Atuará com as ferramentas e-ou linguagens: Alteryx, ETL, SQL, Data, Analytics, power bi

Vivência em tratamento de dados, ETL, consolidação, cruzamentos

Diferencial: Azure e/ou alguma linguagem de programação(.net, python)

Principais atuações: Atuação em processo de ETL, aplicando técnicas e metodologias que garantam a qualidade dos resultados para a área de negócio. Estimar e avaliar a complexidade de projetos x tempo. Auxiliar a equipe nas tarefas diarias e processamentos recorrentes. Reportar status atividades para restante da equipe.

O que procuramos:

Pessoas talentosas e que consigam enxergar os desafios mais difíceis de nossos clientes de todas as perspectivas. Por isso, buscamos pessoas curiosas, apaixonadas pelo que fazem e com uma variedade de habilidades.

O que nós oferecemos:

Oferecemos um pacote de remuneração e benefícios competitivo no segmento, através do qual você será recompensado/a com base no seu desempenho. Além disso, oferecemos:
Desenvolvimento profissional com base em um extenso programa de treinamentos, coordenado pela EY University (EYU), eleita como uma das melhores universidades corporativas;
Programa EY Badges - programa único e inovador de desenvolvimento, aprendizagem e reconhecimento, preparando profissionais de forma teórica e prática nas competências mais relevantes da atualidade;
Ambiente de trabalho que oferece a flexibilidade necessária para o cumprimento dos objetivos profissionais e pessoais, incentivando uma cultura de trabalho focada em resultados.

Quer se sentir desafiado/a, motivado/a e valorizado/a todos os dias? Inspirar mudanças e deixar um legado? Faça parte do time da EY e ajude-nos na construção de um mundo de negócios melhor!

Sobre a EY:

Como líder global em serviços de Auditoria, Consultoria, Impostos, Estratégia e Transações, contratamos e desenvolvemos as pessoas mais apaixonadas em seu campo de atuação para ajudar a construir um mundo de trabalho melhor. Isso começa com uma cultura que acredita que oferecer treinamentos, oportunidades e liberdade criativa pode fazer com que cada profissional atinja o seu melhor. Assim, não importa quanto tempo permaneça, a experiência excepcional da EY dura a vida toda.

A EY acredita na igualdade de oportunidades. Independentemente de gênero, idade, raça, cor, credo, orientação sexual e deficiência, todos os candidatos qualificados serão considerados em nossos processos."
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-dados-intelig%C3%AAncia-de-mercado-at-banco-fibra-3171613035?refId=bxjLAUJgLN3GbskyxU6F3Q%3D%3D&trackingId=zTPJug%2Fg2F1UHZHGVFHeEg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Banco Fibra,Estágio em Dados Inteligência de Mercado,"['Não aplicável', 'Tempo integral', 'Educação e Treinamento', 'Bancos']","São Paulo, SP","Somos um Banco que trabalha na busca do melhor ambiente trabalho e do melhor atendimento aos clientes.

Por trás do melhor atendimento, existem pessoas. Se construímos uma história de sucesso e relações de confiança é porque temos um time formado por facilitadores, capazes de enxergar o negócio do cliente, com atitude empreendedora e trabalho em equipe, sempre com foco em fazer acontecer.

Sabemos que o mercado é dinâmico e que nossos clientes precisam tomar decisões rápidas. Por isso, buscamos profissionais que se movem com agilidade. Ao longo de 30 anos, acompanhamos diferentes cenários e ciclos econômicos e seguimos nos atualizando para atender necessidades que se transformam a todo momento.

O Fibra está crescendo bastante e com isto, precisamos de pessoas que topem novos projetos e com vontade de ir sempre além!

Em nossos processos seletivos preservamos o respeito, a equidade e a inclusão de profissionais com diversidade de gênero, raça, religião, orientação sexual, deficiência e idade.

Responsabilidades e atribuições
Apoiar na transformação de dados;
Auxiliar em projetos estruturantes da área;
Análise de processos matemáticos e de automatização de dados da área;
Auxiliar na análise dos dados por amostra das informações do banco;
Requisitos e qualificações
Cursando superior em: Economia, Matemática, Engenharia ou Estatística;
Formação prevista após 12/2023
Conhecimento em excel avançado
Conhecimento VBA, python e R
Raciocínio analítico e critico
Gostar de trabalhar em um ambiente dinâmico
Atualizar seus conhecimentos de forma constante
Trabalha bem em equipe
Informações adicionais

Benefícios De Ser Fibra
Bolsa-auxílio no valor de R$ 2705,22
Vale Refeição de R$ 922,24
Assistência médica
Auxílio Transporte integral
Assistência odontológica
Auxílio Creche/Babá/ Filhos com Deficiência
Extensão da licença maternidade e paternidade
Suporte médico para colaboradores em situações vulneráveis
Folga aniversário
Empréstimo consignado com taxas reduzidas
Parcerias educacionais
Gift Card em datas especiais
Acompanhamento próximo durante todo período de estágio"
https://br.linkedin.com/jobs/view/analista-jr-cientista-de-dados-at-braskem-3034960250?refId=bxjLAUJgLN3GbskyxU6F3Q%3D%3D&trackingId=fXoEw56vNgv2yVaCy3jM4w%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Braskem,ANALISTA JR CIENTISTA DE DADOS,"['Assistente', 'Tempo integral', 'Engenharia e Tecnologia da informação', 'Fabricação de plásticos']",São Paulo e Região,"The Data Scientist will support Product Management’s teams for South America Business unit scale up our analytics drivers.
Responsibilities
- Accountable for understanding, selecting and validate business drivers in order to commit with the creation of brand new stochastic and deterministic models for South America Business unit;
- Enhance data wrangling and feature engineering;
- Assist with improvements in already existing models (e. g. Market Segmentation Prioritization);
- Build models in order to provide key indications for the business, in order to address (for example): - Feedstock cost;
- Market Share;
- Price policy;

Skills
- Statistical analysis (such as distributions, statistical testing, regression, etc);
- Coding skills (in any popular language, such as Python, Julia, R, etc.)
- Understanding of machine learning techniques and algorithms, such as Linear Regression, KNN, Naive Bayes, SVM, Decision Forests, XGBoost, time series models, etc.
- Understanding of common data science libraries, such as Pandas, NumPy, Matplotlib, SciKit-Learn, etc.
- Oral/written communication skills in English;"
https://br.linkedin.com/jobs/view/analista-de-dados-junior-at-riachuelo-3169198365?refId=bxjLAUJgLN3GbskyxU6F3Q%3D%3D&trackingId=hXhPwNGKoKzvLZTXpVBtkQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Riachuelo,Analista de Dados Junior,"['Não aplicável', 'Tempo integral', 'Tecnologia da informação', 'Varejo']","São Paulo, SP","Aqui na Riachuelo a gente se conecta com @vc! #CarreiraQueConecta 🚀❤️

Existimos para conectar desejos a realizações. E você escolher a Riachuelo para fazer a sua carreira acontecer é uma realização para a gente!

Aqui, nossos mais de 40 mil RCHLOVERS encontram o melhor ambiente para se transformarem e se desenvolverem junto com a gente. Afinal, somos moda, varejo, tech, logística, financeira, indústria e uma das maiores empregadoras do país! ♥

Vamos juntos construir o maior ecossistema de moda, lifestyle e produtos financeiros do Brasil!

Nosso time de Produtos da Midway está em busca de um Analista de Dados para compor a equipe!

♿ Lembramos que nossas oportunidades são para todos. Na Riachuelo, você encontra um ambiente diverso, com respeito e empatia, em que cuidamos dos RCHLOVERS.

Responsabilidades e atribuições

Os Desafios Da Função São
Responsável por coletar, transformar, analisar e interpretar dados e informações de diversas fontes com o objetivo de estruturar diagnósticos de resultados, dando subsídios às áreas de negócios para traçar as estratégias e criar planos de fidelização dos clientes.
Requisitos e qualificações

É Muito Importante Que Você Tenha E/ou Saiba
Experiência em CRM pode ser diferencial e importante para entendimento de conceitos;
Conhecimento avançado em organização de dados e estudos voltados a visão cliente: RFV, Ciclo de Vida, Spending, Categorias de compra, afinidade de canal, meio de pagamento, preferencialmente em varejo;
Superior completo;
Domínio de Power BI;
Excel avançado;
Conhecer SQL e Phyton.
Informações adicionais

E quais são os benefícios?
Assistência médica
Assistência odontológica
Seguro de vida em grupo
Totalpass
Parcerias educacionais
Descontos na Riachuelo
Vale Transporte
Participação nos Lucros
Vale Alimentação
Vale Refeição
Ajuda de custo
Auxilio Creche
Auxilio Cultura
Para conhecer todos os nossos benefícios, acesse www.riachuelo.com.br/carreiras

Curtiu? Então candidate-se agora!

Se orgulhe para sempre daquilo que você faz de melhor. #CarreiraQueConecta"
https://br.linkedin.com/jobs/view/cientista-de-dados-junior-at-infracommerce-3121368732?refId=bxjLAUJgLN3GbskyxU6F3Q%3D%3D&trackingId=0%2FPfNzPGlt3bjQY6x%2B9EgQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Infracommerce,Cientista de Dados Junior,"['Não aplicável', 'Tempo integral', 'Engenharia e Tecnologia da informação', 'Serviços de publicidade']","São Paulo, SP","📌 QUEM SOMOS?

A Infracommerce é um ecossistema digital white label para marcas e indústrias globais, que atua no conceito de Customer Experience as a Service (CXaaS). Nossas soluções digitais — em tecnologia, plataforma, dados, omnichannel, fintech e fulfillment — simplificam as operações de empresas B2C ou B2B, mantendo um excepcional nível de serviço para a experiência do consumidor.

Potencializamos as operações do e-commerce de marcas do mercado de luxo, grandes varejistas, multimarcas e indústrias, como Dior, Montblanc, Ambev, Motorola, Nike, Unilever e outros. Além do Brasil, estamos no México, Colômbia, Chile e Argentina, com mais de 3.500 colaboradores. Após aquisição da Pier8, Summa Solutions, Brandlive, Tatix e Synapcom, nos consolidamos como líderes independentes do segmento na América Latina.

Fomos premiados como a Melhor Empresa de Soluções Digitais, pela ABCOMM; Melhor Operação Logística, pelo E-commerce Brasil; Melhor Empresa para Trabalhar, pela GPTW; e Melhor Empresa de Full Service, pelo Eawards. Em 2021 passamos a integrar a bolsa como IFCM3.

🔎 QUEM BUSCAMOS?

Conhecimento em:
Python (principais pacotes de data sciente);
Elasticsearch;
Data-lakes;
Manipulação de repositórios Git;
Apache NiFi.
🗒️ SUA ROTINA:
Análise de dados da cliente para modelagem de forecast;
Desenvolvimento de modelos de previsão de demanda;
Desenvolvimento de modelos de elasticidade preço-demanda;
Concepção de visualizações de dados para usuários internos e externos (story-telling com dados);
Tecnologias envolvidas.
💼 JORNADA DE TRABALHO:
Regime de contratação – CLT
Híbrido (presencial + home office)
💳 BENEFÍCIOS:

Oferecemos salário compatível com o mercado + VR + Plano de saúde Sul América + Plano Odontológico + Zenklub + Gympass + PLR + Day Off no Aniversário e Voucher Ifood + Auxílio Home Office + Convênio Farmácia + Auxílio Babá ou Creche + Horário Flexível."
https://br.linkedin.com/jobs/view/banco-de-dados-estagio-brotas-sp-at-sicredi-3146452477?refId=bxjLAUJgLN3GbskyxU6F3Q%3D%3D&trackingId=ym%2BgDg2HyysHJdBHn35OYg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,Sicredi,Banco de dados - Estagio - Brotas/SP,"['Assistente', 'Tempo integral', 'Tecnologia da informação', 'Serviços financeiros']","Brotas, SP","Job description Requirements and skills Somos o Sicredi, a primeira Instituição Financeira Cooperativa do Brasil

Nosso propósito é construir juntos uma sociedade mais próspera.

Somos a primeira instituição financeira cooperativa do Brasil e construímos a cada dia o relacionamento com nossos colaboradores, associados e comunidade. Porque para nós, as pessoas estão no centro de tudo. Geramos impacto positivo em toda a sociedade, acreditamos na transformação e valorizamos o desenvolvimento das nossas equipes.

Somos empreendedores

Estamos presentes em aproximadamente 1,5 mil municípios do Brasil, gerando impacto positivo aos nossos associados e à sociedade. Nosso ciclo virtuoso contribui para o desenvolvimento das comunidades onde atuamos

Estamos presentes em aproximadamente 1,5 mil municípios do Brasil, gerando impacto positivo aos nossos associados e à sociedade. Nosso ciclo virtuoso contribui para o desenvolvimento das comunidades onde atuamos

Somos inovadores

Aprendemos todos os dias. Com cada relacionamento, com cada desafio, em cada novo cenário. Em iniciativas que mantêm viva a essência do cooperativismo.

Aprendemos todos os dias. Com cada relacionamento, com cada desafio, em cada novo cenário. Em iniciativas que mantêm viva a essência do cooperativismo.

Somos diferentes

Nosso modelo cooperativo é o diferencial do nosso negócio. Por meio dele, proporcionamos a melhor experiência para nossos mais de 5 milhões de associados.

Nosso modelo cooperativo é o diferencial do nosso negócio. Por meio dele, proporcionamos a melhor experiência para nossos mais de 5 milhões de associados.

Somos humanos

Entendemos a diversidade e a inclusão como fundamentais para o desenvolvimento da sociedade. Por isso, procuramos ser cada vez mais diversos. Para que mais pessoas possam ter orgulho do que fazemos juntos.

Entendemos a diversidade e a inclusão como fundamentais para o desenvolvimento da sociedade. Por isso, procuramos ser cada vez mais diversos. Para que mais pessoas possam ter orgulho do que fazemos juntos.

Somos o Sicredi

Há 119 anos, nos reinventamos a cada dia. Nos desafiamos em tudo o que fazemos. Somos impulsionados pelo trabalho de cada uma das nossas pessoas, que contribui para construirmos juntos uma sociedade mais próspera.

Há 119 anos, nos reinventamos a cada dia. Nos desafiamos em tudo o que fazemos. Somos impulsionados pelo trabalho de cada uma das nossas pessoas, que contribui para construirmos juntos uma sociedade mais próspera.

Buscamos pessoas que queiram fazer parte dessa construção. Que tal ser uma delas?

Conheça mais sobre nós
Website
LinkedIn
Facebook
Instagram"
